,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995
FAES (PP),"529,849.88","1,019,920.00","1,007,121.04","1,016,379.67","940,500","884,550.00","924,105","910,000","876,900","1,045,000",,,,,,,,
IDEAS (PSOE),"238,510.39","974,820.00","962,563.59","955,807.55",,,,,,,,,,,,,,
Fundación Rafael Campalans (PSC-PSOE).,"36,000.00","122,540.00","121,057.99","122,170.89","100,800",,,,,,,,,,,,,
Institut D’Estudis Humanístics-Miquel Coll i Alentorn-INEHCA (UDC),"13,163.97","12,320.00",". 11.597,16","11,703.77","14,900",,,"24,000","16,300","12,500","9,000",,,,,,,
"Nous Horizonts Fundació (Parti Socialista Unificat de Catalunya, IPC, Entensa del Nacionalisres d'Esquerra)","8,227.48",,,,,,,,,,,,,,,,,
Fundació Nous Horitzons (ICV),,,"5,900.31","5,954.55","6,950","10,246.00","13,650","6,200",,"3,550",,,"250,000",,,,,
Fundació L’Alternativa (Esquerra Unida i Alternativa),"1,645.50",,,,,,,,,,,,,,,,,
Fundación Galiza Sempre (BNG),"3,290.99","9,240.00","9,155.65","9,239.82","10,300","10,125.00","10,140","15,000","6,900","12,000","12,000","2,000,000",,,,,,
Fundació Josep Irla (ERC),"4,936.49","18,040.00","20,651.07","20,840.92","21,950","40,532.00","40,755","40,000","41,900","3,550",,"450,000","250,000",,,,,
Fundación Catdem (Convergencia Democrática de Catalunya),"32,909.93",,,,,,,,,,,,,,,,,
Fundación por la Europa de los Ciudadanos (IU),"14,808.47",,"2,543.23","2,566.62","7,750","16,890.00","16,965","23,800",,,,,,,,,,
Fundación Progreso y Democracia (UPyD),,"2,860.00","2,848.72","2,874.61",,,,,,,,,,,,,,
Fundació Catalanista i Demòcrata Trias Fargas (CDC).,,"40,260.00","29,094.60","29,362.08","38,200","36,980.00","30,615","30,000","32,600","55,000","60,000","10,000,000","3,500,000","3,550,000","3,500,000",,,
Sabino Arana Fundazioa (PNV),"16,454.97",,"25,432.35","23,099.54","33,900","36,000.00",,,,,,,,,,,,
Fundació l’alternativa (EUIA),,,"2,034.59",,,,,,,,,,,,,,,
Fundación Jaime Vera (PSOE),,,,,"192,750","223,192.00","250,000","270,000",,,,,,,,,,
Fundación Pablo Iglesias (PSOE),,,,,"801,000.00","625,640.00","663,770","631,000","871,000","615,000","625,000","104,000,000","26,000,000","31,000,000","30,200,000",,"21,636,000","37,000,000"
Fundación Ramón Rubial-Españoles en el Mundo (PSOE),,,,,"31,000","65,845.00",,,,,,,,,,,,
Fundación de Investigaciones Marxistas,,,,,,,,,"31,000","32,000","32,000","4,550,000","1,500,000","3,700,000","3,500,000",,"2,091,000","4,000,000"
Fundación Canaria 7 Islas,,,,,,,,,"20,000","32,000",,,,,,,,
Fundación Gaspar Torrente,,,,,,,,,"3,400",,"4,040",,,,,,,
Asociación Catalana para las Relaciones Internacionales,,,,,,,,,,"12,500","16,000","4,000,000",,,,,,
Fundación Popular Iberoamericana,,,,,,,,,,,"1,045,000","164,000,000","45,000,000","36,750,000","32,800,000",,"26,273,000","33,000,000"
Fundación Luis Bello,,,,,,,,,,,,"1,000,000",,,,,,
Fundación Humanismo y Democracia,,,,,,,,,,,,"10,000,000",,,,,,